"","aoi_name","year","spei3","spei5","spei8","spei12","spei24","cmi3","cmi5","plotname"
"1","atoquedo","2041",NA,NA,NA,NA,NA,-127.679571712943,-24.4345593092947,"atoquedo_2041"
"2","deheson_C2","2041",NA,NA,NA,NA,NA,46.5570606026683,109.638279954314,"deheson_C2_2041"
"3","deheson_C5","2041",NA,NA,NA,NA,NA,-13.273621069997,91.2623478040213,"deheson_C5_2041"
"4","deheson_O6","2041",NA,NA,NA,NA,NA,-138.527767064585,-43.9007972010529,"deheson_O6_2041"
"5","deheson_S3","2041",NA,NA,NA,NA,NA,-21.2401686129984,-13.2924905110966,"deheson_S3_2041"
"6","deheson_S7","2041",NA,NA,NA,NA,NA,30.1907235273734,114.500134010331,"deheson_S7_2041"
"7","deheson_W1","2041",NA,NA,NA,NA,NA,35.7958942839691,78.2353618845161,"deheson_W1_2041"
"8","deheson_W4","2041",NA,NA,NA,NA,NA,-71.4401588959724,34.372233471409,"deheson_W4_2041"
"9","la_cana","2041",NA,NA,NA,NA,NA,-227.21251047731,-194.640597740462,"la_cana_2041"
"10","la_ciervina","2041",NA,NA,NA,NA,NA,-200.213476257903,-166.350171090175,"la_ciervina_2041"
"11","la_villa","2041",NA,NA,NA,NA,NA,-153.919784834126,-155.32362012132,"la_villa_2041"
"12","las_casillas","2041",NA,NA,NA,NA,NA,-227.216720356661,-250.283758739857,"las_casillas_2041"
"13","valdelacasa","2041",NA,NA,NA,NA,NA,-90.392929530091,-83.0538546129891,"valdelacasa_2041"
