"","aoi_name","Year","tas_max_year","tas_min_year","tas_mean_year","bio4_year","bio7_year","pr_max_year","pr_min_year","pr_mean_year","pr_accum_year","bio15_year","tas_max_spring","tas_min_spring","tas_mean_spring","bio4_spring","bio7_spring","pr_max_spring","pr_min_spring","pr_mean_spring","pr_accum_spring","bio15_spring","plotname"
"14","atoquedo","2013",17.2166666666667,7.26666666666668,12.8,5.60927802840972,-25.2,293.74,9.09,85.5633333333333,513.38,123.948377445735,17.5666666666667,7.60000000000002,13.2666666666667,3.05668665933118,-15.5,293.74,14.87,116.87,359.7,90.7455834304375,"atoquedo_2013"
"15","atoquedo","2014",18.5,8.58333333333334,14.2333333333333,5.44377320125174,-23.6,148.27,1.59,73.4683333333333,440.81,82.2006711882617,20.0666666666667,9.03333333333334,15.3,3.47706773014273,-17.9,66.99,22.45,49.7766666666667,150.92,121.324843857556,"atoquedo_2014"
"16","atoquedo","2015",19.4333333333333,8.30000000000001,14.2833333333334,7.15217915510138,-29.4,80.86,3.42,40.48,242.88,72.8402825766446,21.1666666666667,9.46666666666668,15.7,4.25675933075854,-20.8,80.86,3.42,40.0666666666667,189.98,73.591713112377,"atoquedo_2015"
"17","deheson_C2","2000",18.7333333333333,7.88333333333334,13.8333333333334,7.04348398639954,-30.3,198.66,6.68,65.5133333333333,393.08,106.061292663137,18.5666666666667,8.50000000000002,14.2666666666667,3.94630628985299,-16.7,198.66,52.15,108.826666666667,333.16,63.8485863146685,"deheson_C2_2000"
"18","deheson_C2","2001",18.9833333333333,8.93333333333335,14.95,6.19346429714421,-27.1,274.39,0.88,111.651666666667,669.91,102.322338622259,19.3666666666667,9.13333333333335,15.4333333333334,2.64070697604511,-14.5,223.47,0.88,93.1533333333333,287.22,122.641447553205,"deheson_C2_2001"
"19","deheson_C2","2002",18.75,8.11666666666667,14.1666666666667,6.16106051477071,-27,112.86,10.65,55.1216666666667,330.73,70.7508243008499,18.8,7.96666666666668,14.3,2.4062418831032,-15.4,112.86,37.85,72.1833333333333,227.2,54.0277536851076,"deheson_C2_2002"
"20","deheson_C2","2003",18.7,8.66666666666668,14.4666666666667,7.26819555781673,-28.6,134.29,12.48,73.755,442.53,71.3735211659797,19.7333333333333,9.23333333333335,15.4666666666667,3.61432335760558,-17.1,74.34,18.04,54.77,176.79,96.1138224136724,"deheson_C2_2003"
"21","deheson_C2","2004",18.25,7.95000000000001,13.8333333333333,6.54329173021245,-28,84.5,15.62,55.9233333333333,335.54,50.1188840869443,17.5333333333334,7.43333333333334,13.4333333333333,2.80237994093117,-14.9,82.15,45.69,66.7133333333333,215.76,42.0128169444721,"deheson_C2_2004"
"22","deheson_C2","2005",18.6666666666667,7.51666666666666,13.55,8.20603436502676,-31.8,48.54,5.72,27.48,164.88,61.0771062549211,19.6,8.53333333333332,14.9,4.23202079389978,-19.6,48.54,22.59,34.9366666666667,110.53,48.0411853797891,"deheson_C2_2005"
"23","deheson_C2","2006",18.8333333333334,8.25000000000002,14.1166666666667,7.39335287042805,-28.5,129.71,19.7,54.6216666666667,327.73,72.3527983879827,20.3,9.40000000000001,15.5666666666667,4.21939964133918,-19.6,129.71,19.7,67.09,229,58.9064008935598,"deheson_C2_2006"
