"","plotname","CEC","CLAY","CN","DEPTH_ROOTS","K","N","OC","P","pH_CaCl","pH_H2O","T_BD","T_CLAY","T_GRAVEL","T_OC","T_SAND","T_SILT","T_TAWC","T_TEXTURE"
"39","deheson_S7_2009",15.7503824234009,9,10.5367660522461,1.41999995708466,254.46028137207,1.64308714866638,16.2671604156494,23.0115165710449,6.31945657730103,6.81157970428467,1.60000002384186,9,4,0.5,80,11,39.8831939697266,1
"40","deheson_S7_2010",15.7503824234009,9,10.5367660522461,1.41999995708466,254.46028137207,1.64308714866638,16.2671604156494,23.0115165710449,6.31945657730103,6.81157970428467,1.60000002384186,9,4,0.5,80,11,39.8831939697266,1
"41","deheson_S7_2012",15.7503824234009,9,10.5367660522461,1.41999995708466,254.46028137207,1.64308714866638,16.2671604156494,23.0115165710449,6.31945657730103,6.81157970428467,1.60000002384186,9,4,0.5,80,11,39.8831939697266,1
"42","deheson_S7_2013",15.7503824234009,9,10.5367660522461,1.41999995708466,254.46028137207,1.64308714866638,16.2671604156494,23.0115165710449,6.31945657730103,6.81157970428467,1.60000002384186,9,4,0.5,80,11,39.8831939697266,1
"43","deheson_C5_2008",14.9781265258789,10,10.8109827041626,1.44000005722046,288.654083251953,1.9603385925293,17.5911712646484,22.5469932556152,6.35314750671387,6.928626537323,1.5900000333786,10,4,0.550000011920929,80,10,39.7310943603516,1
"44","deheson_C5_2009",14.9781265258789,10,10.8109827041626,1.44000005722046,288.654083251953,1.9603385925293,17.5911712646484,22.5469932556152,6.35314750671387,6.928626537323,1.5900000333786,10,4,0.550000011920929,80,10,39.7310943603516,1
"45","deheson_C5_2010",14.9781265258789,10,10.8109827041626,1.44000005722046,288.654083251953,1.9603385925293,17.5911712646484,22.5469932556152,6.35314750671387,6.928626537323,1.5900000333786,10,4,0.550000011920929,80,10,39.7310943603516,1
"46","deheson_C5_2012",14.9781265258789,10,10.8109827041626,1.44000005722046,288.654083251953,1.9603385925293,17.5911712646484,22.5469932556152,6.35314750671387,6.928626537323,1.5900000333786,10,4,0.550000011920929,80,10,39.7310943603516,1
"47","deheson_C5_2013",14.9781265258789,10,10.8109827041626,1.44000005722046,288.654083251953,1.9603385925293,17.5911712646484,22.5469932556152,6.35314750671387,6.928626537323,1.5900000333786,10,4,0.550000011920929,80,10,39.7310943603516,1
"48","deheson_W4_2008",13.8194255828857,9,11.506031036377,1.41999995708466,314.004699707031,2.24121999740601,16.015100479126,21.4730587005615,6.44673681259155,6.75360107421875,1.60000002384186,9,4,0.5,80,11,39.8831939697266,1
"49","deheson_W4_2009",13.8194255828857,9,11.506031036377,1.41999995708466,314.004699707031,2.24121999740601,16.015100479126,21.4730587005615,6.44673681259155,6.75360107421875,1.60000002384186,9,4,0.5,80,11,39.8831939697266,1
"50","deheson_W4_2010",13.8194255828857,9,11.506031036377,1.41999995708466,314.004699707031,2.24121999740601,16.015100479126,21.4730587005615,6.44673681259155,6.75360107421875,1.60000002384186,9,4,0.5,80,11,39.8831939697266,1
"51","deheson_W4_2012",13.8194255828857,9,11.506031036377,1.41999995708466,314.004699707031,2.24121999740601,16.015100479126,21.4730587005615,6.44673681259155,6.75360107421875,1.60000002384186,9,4,0.5,80,11,39.8831939697266,1
"52","deheson_W4_2013",13.8194255828857,9,11.506031036377,1.41999995708466,314.004699707031,2.24121999740601,16.015100479126,21.4730587005615,6.44673681259155,6.75360107421875,1.60000002384186,9,4,0.5,80,11,39.8831939697266,1
"53","deheson_O6_2008",13.0227241516113,9,9.94951725006104,1.41999995708466,254.617980957031,1.85545551776886,17.5911712646484,22.1634178161621,6.53959989547729,6.96616125106812,1.60000002384186,9,4,0.5,80,11,39.8831939697266,1
"54","deheson_O6_2009",13.0227241516113,9,9.94951725006104,1.41999995708466,254.617980957031,1.85545551776886,17.5911712646484,22.1634178161621,6.53959989547729,6.96616125106812,1.60000002384186,9,4,0.5,80,11,39.8831939697266,1
"55","deheson_O6_2010",13.0227241516113,9,9.94951725006104,1.41999995708466,254.617980957031,1.85545551776886,17.5911712646484,22.1634178161621,6.53959989547729,6.96616125106812,1.60000002384186,9,4,0.5,80,11,39.8831939697266,1
"56","deheson_O6_2012",13.0227241516113,9,9.94951725006104,1.41999995708466,254.617980957031,1.85545551776886,17.5911712646484,22.1634178161621,6.53959989547729,6.96616125106812,1.60000002384186,9,4,0.5,80,11,39.8831939697266,1
"57","deheson_O6_2013",13.0227241516113,9,9.94951725006104,1.41999995708466,254.617980957031,1.85545551776886,17.5911712646484,22.1634178161621,6.53959989547729,6.96616125106812,1.60000002384186,9,4,0.5,80,11,39.8831939697266,1
