"","aoi_name","year","spei3","spei5","spei8","spei12","spei24","cmi3","cmi5","plotname"
"1","atoquedo","2000",1.3186140645945,-0.0861285158042291,NA,NA,NA,90.5287118728672,-18.1329301998845,"atoquedo_2000"
"2","atoquedo","2001",0.30826227047378,1.26561628405713,1.60604754644907,1.50064028416182,NA,-11.7101790648027,222.448313549329,"atoquedo_2001"
"3","atoquedo","2002",0.38788980492373,-0.244155369557915,-0.593030033390532,-0.666443029724436,0.927925331828117,-4.22337143005149,-44.7880791532406,"atoquedo_2002"
"4","atoquedo","2003",-0.26764280679792,0.44376214740343,0.764639756378852,1.15469548952315,0.645620239096202,-65.4053672043928,71.2497803266764,"atoquedo_2003"
"5","atoquedo","2004",-0.1709922535514,-0.313845278502618,0.361427081184943,0.274400847711577,1.31363513564702,-56.3404248653728,-56.6348877989894,"atoquedo_2004"
"6","atoquedo","2005",-0.977797286579395,-1.4359160196137,-1.1664142319111,-1.17087103318923,-0.714137650083019,-135.831234609968,-269.049679183014,"atoquedo_2005"
"7","atoquedo","2006",-0.255148102206075,-0.515875843413521,-0.402923101523209,-0.64696422637575,-1.61134520759896,-64.2297405732315,-91.4786728752114,"atoquedo_2006"
"8","atoquedo","2007",0.358459404856892,0.0632094816115639,0.512604149176662,0.402817176559192,0.010864788372521,-6.99614721364262,6.92386360991479,"atoquedo_2007"
"9","atoquedo","2008",0.828349965714886,0.567121426035534,-0.19222213719348,0.06138726865367,0.644104738104826,38.5073907575148,92.5546340736262,"atoquedo_2008"
"10","atoquedo","2009",-1.54586436552745,-0.780116248181154,-1.18066856630276,-1.30717049926545,-1.09414480612834,-201.286236370668,-138.685512333919,"atoquedo_2009"
"11","atoquedo","2010",0.725964803979918,1.78952056155486,1.33608172333816,1.21198273651014,0.0160022274970214,28.3167014443947,336.043412994681,"atoquedo_2010"
"12","atoquedo","2011",1.02285696792533,0.768893959334897,0.987762271030719,0.889622774469942,1.68030895523801,58.4432611327858,128.225228574365,"atoquedo_2011"
"13","atoquedo","2012",-1.19234614491867,-1.51288846484306,-1.47798818283103,-1.59686350497936,-0.711691880618474,-159.304131147291,-286.003994709313,"atoquedo_2012"
"14","atoquedo","2013",1.65865349359746,1.01583489125873,0.779237780347442,0.672378869631804,-0.92359301334066,130.688681626579,173.733279707871,"atoquedo_2013"
"15","atoquedo","2014",-0.90633130781767,0.393025530933517,-0.147853805492949,-0.2142855096317,0.635909516832783,-128.294730865513,62.5735261668803,"atoquedo_2014"
"16","atoquedo","2015",-1.30253402755454,-1.41861285539052,-1.08253622312916,-0.682952123724527,-0.612483872325009,-171.912899350362,-265.293632977845,"atoquedo_2015"
"17","deheson_C2","2000",1.40851708144099,0.378335232207194,NA,NA,NA,111.638052951026,70.494976044562,"deheson_C2_2000"
"18","deheson_C2","2001",1.13903209382129,1.76908204498556,1.89900189563226,1.78365890392468,NA,75.0409473034534,398.187722412129,"deheson_C2_2001"
"19","deheson_C2","2002",0.30766996581484,-0.0985702158847727,-0.608349779114092,-0.880575426072799,1.12694980265828,-17.1813527320185,-11.9301471548733,"deheson_C2_2002"
"20","deheson_C2","2003",-0.479370498446918,0.520138709176708,1.02033125774265,1.18462933012727,0.420771935422241,-90.2125775824632,96.6853020702774,"deheson_C2_2003"
"21","deheson_C2","2004",0.285343626716975,-0.114762594185996,0.513756298576724,0.290291590576151,1.393547183469,-19.367529388881,-14.6214727410456,"deheson_C2_2004"
"22","deheson_C2","2005",-1.26526399487164,-1.43838666832997,-1.19080586258963,-1.28966717457951,-0.905804494725307,-162.271644120508,-232.927514202321,"deheson_C2_2005"
"23","deheson_C2","2006",-0.320840752370882,-0.715455476787419,-0.4860989845952,-0.700505114297731,-1.68147415406377,-75.904892646648,-112.586154485887,"deheson_C2_2006"
"24","deheson_C2","2007",-0.210776121286644,-0.593731976646677,0.431158448152467,0.523458206545295,-0.105536660871514,-65.9149616030298,-92.8389610887159,"deheson_C2_2007"
"25","deheson_C2","2008",0.997148534589463,0.241788485109669,-0.659108379487547,-0.0506840563749347,0.49868025380131,57.3760811544932,46.1265855243254,"deheson_C2_2008"
"26","deheson_C2","2009",-1.52943760978462,-1.05860514323084,-1.32709491853427,-1.15139489878059,-1.06227671718558,-187.73699364713,-168.810357470715,"deheson_C2_2009"
"27","deheson_C2","2010",0.258741175850294,1.23608625683488,0.911224077695326,0.908152720442206,-0.161387571993657,-21.9591555654555,249.526450087089,"deheson_C2_2010"
"28","deheson_C2","2011",0.5153674250402,0.550413910781004,0.599843960294387,0.590421683282288,1.38015974387731,3.70824918847038,102.410141408323,"deheson_C2_2011"
"29","deheson_C2","2012",-0.767426737480075,-1.22916930054764,-1.34569690128318,-1.49197541771115,-0.84181335885482,-116.218386114017,-197.301205984129,"deheson_C2_2012"
"30","deheson_C2","2013",1.66169308478345,1.11401681254702,0.762584594623635,0.705212735584002,-0.732894678790118,150.369719673148,220.367384992155,"deheson_C2_2013"
"31","deheson_C2","2014",-0.447327015929,0.877005222682837,0.50811371635385,0.316349097582295,0.983751034244108,-87.3247442772093,167.79313632401,"deheson_C2_2014"
"32","deheson_C2","2015",-1.36655804715583,-1.2326848852412,-0.868420673244489,-0.686859898314051,-0.293630761078706,-171.936557035966,-197.893355534512,"deheson_C2_2015"
"33","deheson_C5","2000",1.36168269281576,0.269704928741899,NA,NA,NA,87.9861569349569,36.4624668120278,"deheson_C5_2000"
"34","deheson_C5","2001",1.0133933962995,1.70018944421601,1.84546086402068,1.74941208774672,NA,47.8315621237144,337.861453540726,"deheson_C5_2001"
