"","r_name","aoi_name","values","date","variable","SSP"
"1","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_01_2071_2100_norm","atoquedo",80.5,"01_2071","pr","ssp585"
"2","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_01_2071_2100_norm","la_cana",60.4,"01_2071","pr","ssp585"
"3","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_01_2071_2100_norm","la_ciervina",74.4,"01_2071","pr","ssp585"
"4","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_01_2071_2100_norm","las_casillas",59.2,"01_2071","pr","ssp585"
"5","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_01_2071_2100_norm","la_villa",76.5,"01_2071","pr","ssp585"
"6","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_01_2071_2100_norm","valdelacasa",86.1,"01_2071","pr","ssp585"
"7","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_01_2071_2100_norm","deheson_S3",79.7,"01_2071","pr","ssp585"
"8","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_01_2071_2100_norm","deheson_W1",83.8,"01_2071","pr","ssp585"
"9","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_01_2071_2100_norm","deheson_C2",80.2,"01_2071","pr","ssp585"
"10","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_01_2071_2100_norm","deheson_S7",76.8,"01_2071","pr","ssp585"
"11","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_01_2071_2100_norm","deheson_C5",78.2,"01_2071","pr","ssp585"
"12","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_01_2071_2100_norm","deheson_W4",78.4,"01_2071","pr","ssp585"
"13","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_01_2071_2100_norm","deheson_O6",78.2,"01_2071","pr","ssp585"
"14","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_02_2071_2100_norm","atoquedo",66.6,"02_2071","pr","ssp585"
"15","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_02_2071_2100_norm","la_cana",49.4,"02_2071","pr","ssp585"
"16","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_02_2071_2100_norm","la_ciervina",62.3,"02_2071","pr","ssp585"
"17","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_02_2071_2100_norm","las_casillas",49.9,"02_2071","pr","ssp585"
"18","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_02_2071_2100_norm","la_villa",63.3,"02_2071","pr","ssp585"
"19","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_02_2071_2100_norm","valdelacasa",67.4,"02_2071","pr","ssp585"
"20","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_02_2071_2100_norm","deheson_S3",61.3,"02_2071","pr","ssp585"
"21","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_02_2071_2100_norm","deheson_W1",64,"02_2071","pr","ssp585"
"22","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_02_2071_2100_norm","deheson_C2",61.5,"02_2071","pr","ssp585"
"23","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_02_2071_2100_norm","deheson_S7",59.4,"02_2071","pr","ssp585"
"24","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_02_2071_2100_norm","deheson_C5",60.3,"02_2071","pr","ssp585"
"25","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_02_2071_2100_norm","deheson_W4",60.4,"02_2071","pr","ssp585"
"26","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_02_2071_2100_norm","deheson_O6",60.3,"02_2071","pr","ssp585"
"27","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_03_2071_2100_norm","atoquedo",51.1,"03_2071","pr","ssp585"
"28","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_03_2071_2100_norm","la_cana",38.1,"03_2071","pr","ssp585"
"29","CHELSA_gfdl-esm4_r1i1p1f1_w5e5_ssp585_pr_03_2071_2100_norm","la_ciervina",47.9,"03_2071","pr","ssp585"
