aoi,date,ndvi_mean
la_ciervina_point,2008-02-09,0.686155383820237
la_ciervina_point,2008-03-28,0.3814311256435259
la_ciervina_point,2008-07-18,
la_ciervina_point,2008-01-31,
la_ciervina_point,2008-04-04,
la_ciervina_point,2008-07-09,
la_ciervina_point,2009-02-11,0.6150436613703634
la_ciervina_point,2009-02-27,0.08512373893229476
la_ciervina_point,2009-03-15,
la_ciervina_point,2009-03-31,
la_ciervina_point,2009-05-02,
la_ciervina_point,2009-05-18,
la_ciervina_point,2009-01-10,0.5799632656007894
la_ciervina_point,2009-02-11,0.6196747510321253
la_ciervina_point,2009-02-27,0.09120331690368329
la_ciervina_point,2009-03-15,
la_ciervina_point,2009-03-31,
la_ciervina_point,2009-05-02,
la_ciervina_point,2009-05-18,
la_ciervina_point,2009-01-17,0.5796672850558288
la_ciervina_point,2009-02-18,
la_ciervina_point,2009-03-22,
la_ciervina_point,2009-07-28,
la_ciervina_point,2010-04-19,
la_ciervina_point,2010-05-05,
la_ciervina_point,2010-05-21,
la_ciervina_point,2010-06-06,
la_ciervina_point,2010-06-22,
la_ciervina_point,2010-05-05,
la_ciervina_point,2010-05-21,
la_ciervina_point,2010-06-06,
la_ciervina_point,2010-06-22,
la_ciervina_point,2010-03-09,
la_ciervina_point,2010-04-10,
la_ciervina_point,2011-02-01,0.6778228043602034
la_ciervina_point,2011-03-21,
la_ciervina_point,2011-04-06,
la_ciervina_point,2011-05-08,
la_ciervina_point,2011-02-01,0.6632171909411625
la_ciervina_point,2011-03-21,
la_ciervina_point,2011-04-06,
la_ciervina_point,2011-05-08,
la_ciervina_point,2011-05-24,
la_ciervina_point,2011-04-13,
la_ciervina_point,2011-04-29,
la_ciervina_point,2011-05-15,
la_ciervina_point,2012-01-03,0.6914255301177191
la_ciervina_point,2012-01-19,0.6647392565714634
la_ciervina_point,2012-02-04,0.6310916490257646
la_ciervina_point,2012-02-20,
la_ciervina_point,2012-03-07,
la_ciervina_point,2012-04-08,
la_ciervina_point,2012-07-13,
la_ciervina_point,2012-07-29,
la_ciervina_point,2012-01-03,0.6770205116701427
la_ciervina_point,2012-01-19,0.6875871073894116
la_ciervina_point,2012-02-04,0.6355130006186895
la_ciervina_point,2012-02-20,
la_ciervina_point,2012-03-07,
la_ciervina_point,2012-04-08,
la_ciervina_point,2012-04-24,
la_ciervina_point,2012-07-29,
la_ciervina_point,2012-02-11,0.621405219704106
la_ciervina_point,2012-02-27,
la_ciervina_point,2012-03-14,
la_ciervina_point,2012-04-15,0.4265620745811551
la_ciervina_point,2013-04-27,0.12543726999501673
la_ciervina_point,2013-05-13,
la_ciervina_point,2013-05-29,0.07430532043482753
la_ciervina_point,2013-06-14,
la_ciervina_point,2013-06-30,
la_ciervina_point,2013-07-16,
la_ciervina_point,2013-04-27,0.13069107419504128
la_ciervina_point,2013-05-13,
la_ciervina_point,2013-05-29,0.07626965917050149
la_ciervina_point,2013-06-14,
la_ciervina_point,2013-06-30,
la_ciervina_point,2013-03-01,
la_ciervina_point,2013-04-02,0.009742029199306435
la_ciervina_point,2013-04-18,
la_ciervina_point,2013-05-04,
la_ciervina_point,2013-05-20,0.49911795554448746
la_ciervina_point,2013-06-05,
la_ciervina_point,2014-01-08,0.37420160211485803
la_ciervina_point,2014-01-24,
la_ciervina_point,2014-03-13,
la_ciervina_point,2014-04-14,0.17723677225953044
la_ciervina_point,2014-04-30,
la_ciervina_point,2014-05-16,0.25066931751589294
la_ciervina_point,2014-06-01,
la_ciervina_point,2014-06-17,
la_ciervina_point,2014-07-03,
la_ciervina_point,2014-01-08,0.34752015945626885
la_ciervina_point,2014-01-24,
la_ciervina_point,2014-03-13,
la_ciervina_point,2014-04-14,0.17773311887359283
la_ciervina_point,2014-04-30,
la_ciervina_point,2014-05-16,0.2512473259638599
la_ciervina_point,2014-06-01,
la_ciervina_point,2014-06-17,
la_ciervina_point,2014-07-03,
la_ciervina_point,2014-01-31,
la_ciervina_point,2014-02-16,0.6998082205981445
la_ciervina_point,2014-03-04,0.6467962896361382
la_ciervina_point,2014-03-20,0.4952642796786521
la_ciervina_point,2014-04-21,0.18790609085976273
la_ciervina_point,2014-05-07,0.09206713002157929
la_ciervina_point,2014-05-23,
la_ciervina_point,2014-06-08,
la_ciervina_point,2014-07-10,
la_ciervina_point,2014-07-26,
la_villa_point,2003-01-10,0.6834582391853344
la_villa_point,2003-01-26,
la_villa_point,2003-02-11,0.10887019075463615
la_villa_point,2003-02-27,
la_villa_point,2003-03-15,
la_villa_point,2003-03-31,
la_villa_point,2003-04-16,0.5461476810591521
la_villa_point,2003-05-02,
la_villa_point,2003-05-18,
la_villa_point,2003-01-10,0.6880724628851114
la_villa_point,2003-02-02,
la_villa_point,2003-03-06,
la_villa_point,2003-03-22,0.2453291455338244
la_villa_point,2003-04-07,
la_villa_point,2003-05-09,
la_villa_point,2003-05-25,
la_villa_point,2004-03-01,0.2755608586524222
la_villa_point,2004-06-05,
la_villa_point,2004-06-05,
la_villa_point,2004-01-04,
la_villa_point,2004-01-20,
la_villa_point,2004-04-25,
la_villa_point,2004-05-27,
la_villa_point,2004-06-12,
la_villa_point,2004-06-28,0.20624375425571237
la_villa_point,2005-05-07,
la_villa_point,2005-06-08,
la_villa_point,2005-05-07,
la_villa_point,2005-05-23,
la_villa_point,2005-06-08,
la_villa_point,2005-01-22,0.8020198332235833
la_villa_point,2005-03-11,
la_villa_point,2005-04-12,0.7996659570984117
la_villa_point,2005-07-01,
