"","Farm_code","yield_kgDM_ha.1","BLUE","GREEN","RED","NIR","SWIR1","SWIR2","NDVI","NDTI","GNDVI","NDMI","NDWI","NGRDI","SAVI","BSI","EVI","AVI","MSI","GCI","OSAVI","MSAVI2","NLI","VARI","SOCI","RIPI","RVI","fcc","tas_max_year","tas_min_year","tas_mean_year","bio4_year","bio7_year","pr_max_year","pr_min_year","pr_mean_year","pr_accum_year","bio15_year","tas_max_spring","tas_min_spring","tas_mean_spring","bio4_spring","bio7_spring","pr_max_spring","pr_min_spring","pr_mean_spring","pr_accum_spring","bio15_spring","spei3","spei5","spei8","spei12","spei24","cmi3","cmi5","CEC","T_OC","CN","N","P","K","pH_CaCl","pH_H2O","DEPTH_ROOTS","T_BD","T_CLAY","T_SAND","T_SILT","T_GRAVEL","T_TAWC","slope","aspect"
"1","atoquedo_2010",2790,0.0451261044981832,0.0824177886543038,0.090689319790753,0.28510161602556,0.230043803721338,0.139099683466984,0.521682001148754,0.351293984227804,0.552951583571771,0.110615911934526,-0.552951583571771,-0.0411988765126695,0.333343261738904,-0.18805694444649,0.327152163766277,0.368918792507893,0.807079119213429,2.50046013852118,0.364176411977295,0.308786439187029,-0.0457833064197397,-0.0548381726222625,6.37916215694763,0.187895467908157,3.25857595715613,35.1349310498449,17.15,7.61666666666667,13,5.80034481733629,-23.9,216.16,41.54,111.236666666667,667.42,59.8568647845376,18.2333333333333,7.93333333333334,13.9,3.31511689085018,-16.4,130.77,41.54,81.9333333333333,301.9,81.2645823728561,0.725964803979918,1.78952056155486,1.33608172333816,1.21198273651014,0.0160022274970214,28.3167014443947,336.043412994681,12.2596273422241,1.39999997615814,11.3049545288086,1.5960921049118,14.5019798278809,416.118804931641,5.96642398834229,6.75845670700073,1.43815243244171,1.5900000333786,9,73,18,21,37.7019805908203,3.35347330420816,188.583945906495
"2","atoquedo_2011",3540,0.0488801595162225,0.0821622580533024,0.0879022430330244,0.26503860325898,0.229922453085168,0.135709099420626,0.506792309943884,0.328962152412824,0.528591924309251,0.0739299561038996,-0.528591924309251,-0.0267985162883472,0.311748525555787,-0.17637865385523,0.312068715490391,0.349207682123844,0.870372432777487,2.28173874966319,0.346632288844714,0.285058233338217,-0.10146925994184,-0.0357860528340008,7.34531299081009,0.176470423146002,3.14978997421194,35.1349310498449,18.7166666666667,8.43333333333335,14.1833333333333,6.07895276068721,-25.4,126.31,10.06,78.1483333333333,468.89,50.1035402162195,19.8333333333334,9.70000000000001,15.5333333333333,4.30038757943203,-18.3,126.31,74.96,95.8033333333333,297.47,40.8702706446943,1.02285696792533,0.768893959334897,0.987762271030719,0.889622774469942,1.68030895523801,58.4432611327858,128.225228574365,12.2596273422241,1.39999997615814,11.3049545288086,1.5960921049118,14.5019798278809,416.118804931641,5.96642398834229,6.75845670700073,1.43815243244171,1.5900000333786,9,73,18,21,37.7019805908203,3.35347330420816,188.583945906495
"3","atoquedo_2012",4450,0.046804101953836,0.0690936061958302,0.0845020163640213,0.213754947218374,0.258024224991699,0.164246501156387,0.437986499487578,0.138344966788743,0.513129990882511,-0.0895632478172313,-0.513129990882511,-0.0952451164043415,0.242943760331585,-0.0312675577492864,0.236446161168258,0.292994042110466,1.20481689980662,2.1343115453554,0.28294082341073,0.21302116319591,-0.290848071364234,-0.136389948235002,8.50920363490182,0.149128481791198,2.61142522330744,35.1349310498449,18.6666666666667,6.73333333333335,12.9833333333333,6.8735483315873,-30.2,63.51,0.57,22.5483333333333,135.29,123.659287960638,19.4666666666667,7.9666666666667,14.1,4.24617474911243,-19.2,63.51,6.52,40.7766666666667,123.55,68.380058318461,-1.19234614491867,-1.51288846484306,-1.47798818283103,-1.59686350497936,-0.711691880618474,-159.304131147291,-286.003994709313,12.2596273422241,1.39999997615814,11.3049545288086,1.5960921049118,14.5019798278809,416.118804931641,5.96642398834229,6.75845670700073,1.43815243244171,1.5900000333786,9,73,18,21,37.7019805908203,3.35347330420816,188.583945906495
"4","atoquedo_2013",5350,0.0405195190032921,0.0819129852764218,0.0974594583494153,0.297115151152231,0.258812084742877,0.15773052660915,0.511590274798626,0.313937469878538,0.569485690393367,0.0748372698408931,-0.569485690393367,-0.0754814626437185,0.335653589595565,-0.150429969320589,0.318146734742711,0.376303513484706,0.872675658342459,2.71066070235208,0.362143207971188,0.313163382992646,-0.0338917626875984,-0.0975972789520128,5.34968964526644,0.197287304750823,3.28607443028157,35.1349310498449,17.2166666666667,7.26666666666668,12.8,5.60927802840972,-25.2,293.74,9.09,85.5633333333333,513.38,123.948377445735,17.5666666666667,7.60000000000002,13.2666666666667,3.05668665933118,-15.5,293.74,14.87,116.87,359.7,90.7455834304375,1.65865349359746,1.01583489125873,0.779237780347442,0.672378869631804,-0.92359301334066,130.688681626579,173.733279707871,12.2596273422241,1.39999997615814,11.3049545288086,1.5960921049118,14.5019798278809,416.118804931641,5.96642398834229,6.75845670700073,1.43815243244171,1.5900000333786,9,73,18,21,37.7019805908203,3.35347330420816,188.583945906495
"5","atoquedo_2014",2790,0.0435345576909979,0.0924365997389033,0.101065881212396,0.271658330661823,0.226266973890339,0.143551316449086,0.461721340070772,0.310481747773793,0.493859467990452,0.0929294139285628,-0.493859467990452,-0.0395219130854767,0.293698493203027,-0.129885525774004,0.275806630378594,0.346400961200683,0.831790922820268,1.96828764790467,0.321595343433882,0.268012838944474,-0.148296179083754,-0.0505608971777547,4.85335886008854,0.18636210593711,2.7717042402796,35.1349310498449,18.5,8.58333333333334,14.2333333333333,5.44377320125174,-23.6,148.27,1.59,73.4683333333333,440.81,82.2006711882617,20.0666666666667,9.03333333333334,15.3,3.47706773014273,-17.9,66.99,22.45,49.7766666666667,150.92,121.324843857556,-0.90633130781767,0.393025530933517,-0.147853805492949,-0.2142855096317,0.635909516832783,-128.294730865513,62.5735261668803,12.2596273422241,1.39999997615814,11.3049545288086,1.5960921049118,14.5019798278809,416.118804931641,5.96642398834229,6.75845670700073,1.43815243244171,1.5900000333786,9,73,18,21,37.7019805908203,3.35347330420816,188.583945906495
"6","la_cana_2002",2280,0.0369632518365994,0.0690821347006048,0.0558715873985216,0.426750693004123,0.18246447787454,0.0878461201099689,0.766227733821388,0.65930861474031,0.71873192255939,0.400703939578827,-0.71873192255939,0.121713644261527,0.563986954945196,-0.532591163821908,0.624434707570474,0.529352301410705,0.435613800213841,5.39570528982334,0.574788904487876,0.585725118977456,0.524370426642208,0.174034853875623,10.2896044429764,0.241311140201322,8.47749096109572,1.62638558897643,18.6166666666667,7.60000000000001,13.55,5.34368786513584,-25.3,96.01,6.66,44.7783333333333,268.67,81.2152347211244,18.8,7.53333333333334,13.7,2.16564078277077,-15.3,96.01,26.3,65.2866666666667,202.52,55.7033011143789,0.302077174072083,-0.424473529473453,-0.521783280305094,-0.517590696461229,0.96168013851618,-64.168361199174,-156.618516577758,8.89283657073975,1.38999998569489,11.3144798278809,2.43364787101746,21.4734420776367,268.616333007812,5.49258470535278,5.92851972579956,1.41999995708466,1.4099999666214,21,42,37,19,45.8719482421875,1.58036238879946,203.068464201072
"7","la_cana_2005",3740,0.0520813408556615,0.0840688706846579,0.0972323476346129,0.309941418105114,0.288149952096483,0.163343099075744,0.52074633775147,0.309858855842762,0.571417367824421,0.0366335824712354,-0.571417367824421,-0.0689835581844461,0.35059497186232,-0.165771971055334,0.354338452110799,0.389300169972555,0.943908635339621,2.72543571714573,0.373632909387403,0.330043039026556,-0.00549727836139028,-0.0963085475790428,6.52495998330347,0.203586882869864,3.28767049545468,1.62638558897643,18.7666666666667,6.75000000000001,13.2,7.8869512487399,-32,36.28,0.52,13.3783333333333,80.27,105.992217204858,19.9,7.96666666666668,14.7,3.99624824053761,-19.8,36.28,17.56,24.95,77.99,56.8336357717699,-1.12868836052776,-1.55345813850471,-1.17435420947292,-1.20537487991472,-0.282624153979104,-192.700351996429,-323.757633891079,8.89283657073975,1.38999998569489,11.3144798278809,2.43364787101746,21.4734420776367,268.616333007812,5.49258470535278,5.92851972579956,1.41999995708466,1.4099999666214,21,42,37,19,45.8719482421875,1.58036238879946,203.068464201072
"8","la_cana_2011",6820,0.0625041376124701,0.098960381209428,0.106722569251475,0.351376297794395,0.248971683601251,0.142948473407434,0.528179064126876,0.420457471099559,0.553811348655233,0.169450840282347,-0.553811348655233,-0.0275403557149297,0.379846482156166,-0.253322357317104,0.403014683072176,0.422007717538145,0.737163491527059,2.62981040998844,0.391618846108429,0.366722699366553,0.0691737513919375,-0.0380882985951247,6.2277405434307,0.229049433522935,3.55954882301158,1.62638558897643,18.8833333333334,8.15000000000001,14.0333333333333,6.2230753383409,-26,75.13,13.17,57.2533333333333,343.52,39.38420618193,20.1333333333334,9.26666666666669,15.4333333333333,4.4959240800233,-19.5,75.13,62.5,68.8066666666667,219.59,32.7712007257451,0.449026367484545,0.348531576050302,0.583610736469693,0.38999234230023,1.69124792499233,-51.5395856428905,-45.9199312424853,8.89283657073975,1.38999998569489,11.3144798278809,2.43364787101746,21.4734420776367,268.616333007812,5.49258470535278,5.92851972579956,1.41999995708466,1.4099999666214,21,42,37,19,45.8719482421875,1.58036238879946,203.068464201072
"9","la_ciervina_2005",3540,0.0547199697194978,0.0774442415962368,0.0972531937778239,0.219375891416249,0.272632882125591,0.1986930698734,0.382653283445282,0.0551083621825768,0.473187758179421,-0.108164776331122,-0.473187758179421,-0.109073692363464,0.222172701692846,0.0317587988248189,0.218553954586163,0.286525825962776,1.26400585470753,1.85639932177725,0.253335180363419,0.19616728984336,-0.336360892626805,-0.158778176806371,7.5652965400599,0.158314542597037,2.31831023795317,44.6783766659707,18.65,7.06666666666667,13.2833333333334,7.79215417369719,-31.7,43.65,0.56,20.5683333333333,123.41,95.0872636264442,19.6,8.23333333333335,14.6,3.89743505398101,-19.4,43.65,29.85,37.81,115.36,51.726700185751,-0.970530271377576,-1.31466389890437,-0.982119134165547,-1.21439872646251,-0.671149266245593,-136.780209117452,-245.096409725964,9.70303153991699,0.310000002384186,12.0209703445435,1.47608292102814,11.7900114059448,378.624908447266,5.69658756256104,6.74267530441284,1.38999998569489,1.57000005245209,11,77,12,4,41.457576751709,5.54353473039001,166.674051026478
"10","la_ciervina_2011",4760,0.0551792952330847,0.0788880730988586,0.0893254821625464,0.228195112036783,0.24995879156429,0.162012813428742,0.438307443590636,0.174995105028973,0.486111439970298,-0.042679605885244,-0.486111439970298,-0.0597726145078667,0.254751488917101,-0.0648630304664624,0.257516189208187,0.306295724607214,1.09873279972556,1.90707133615131,0.290948564104715,0.225935674537422,-0.26019973424561,-0.0887172292402073,7.97447676672342,0.158760297099665,2.5908590340879,44.6783766659707,18.8,8.55,14.1833333333333,6.09373995725667,-25.2,103.47,9.65,69.9283333333333,419.57,46.9356716888111,20,9.83333333333333,15.6,4.35545634807651,-18.4,103.47,70.83,86.0333333333333,267.75,38.1495539916205,0.797023400934386,0.442728292723657,0.737491124353768,0.731612146107674,1.52601067017131,18.1955861381875,44.5946302178891,9.70303153991699,0.310000002384186,12.0209703445435,1.47608292102814,11.7900114059448,378.624908447266,5.69658756256104,6.74267530441284,1.38999998569489,1.57000005245209,11,77,12,4,41.457576751709,5.54353473039001,166.674051026478
